,bidir,numFC,numRNN,sizeFC,dropout,sizeRNN,weighted,whichFFT,batch_size,customLoss,initial_lr,remove_mean,weight_decay,whichDataset,whichDisplacement,replace_nan_by_min
0,False,1,2,16,0.1276926280461263,8,True,True,215,False,0.01,False,1e-05,ratio,xyPosition,True
1,False,2,1,32,0.06584697779463697,32,True,False,256,False,0.001,False,1e-05,ratioNorm,displacement,False
2,False,2,2,32,0.19763418769714852,32,True,False,2048,False,0.01,False,1e-05,ratio,xyPosition,False
3,True,1,1,8,0.08160292511899894,32,True,False,2048,False,0.01,False,0.001,ratioNorm,None,False
4,True,1,1,16,0.18667309362861267,8,True,False,128,False,0.01,False,1e-05,ratioNorm,displacement,True
5,True,1,1,16,0.14010790692548358,8,True,False,2048,False,0.01,False,0.001,ratioNorm,None,False
6,True,1,1,8,0.0836605932730344,8,False,False,2048,False,0.001,False,0.001,ratioNorm,None,False
7,False,1,1,8,0.11950115444652412,16,True,False,1024,False,0.001,False,0.0001,ratioNorm,displacement,False
8,False,1,2,8,0.09724086675763537,16,True,False,215,False,0.001,False,1e-05,indiv,displacement,True
9,True,1,2,8,0.19366277360454787,8,False,True,215,False,0.01,False,0.001,ratioNorm,xyPosition,True
10,False,2,1,16,0.09624372139548762,16,True,True,2048,False,0.001,False,1e-05,ratioNorm,displacement,False
11,True,2,2,32,0.17586587840952378,16,False,False,215,False,0.001,False,1e-05,ratioNorm,xyPosition,True
12,True,2,1,8,0.18041571183220464,8,True,False,1024,False,0.001,False,0.001,ratio,xyPosition,True
13,True,1,2,32,0.0878148875439128,16,True,True,128,False,0.01,False,1e-05,ratio,displacement,False
14,False,2,1,16,0.19901052112301443,8,False,True,1024,False,0.001,False,1e-05,indiv,xyPosition,False
15,False,2,1,32,0.150508950185213,8,False,True,2048,False,0.01,False,0.001,indiv,displacement,False
16,False,2,1,8,0.12417675980661606,32,False,True,4096,False,0.001,False,0.001,ratio,None,False
17,True,2,2,32,0.14036269459373268,8,False,False,4096,False,0.01,False,0.001,ratio,xyPosition,False
18,False,1,2,16,0.1129680880885934,16,False,False,4096,False,0.001,False,0.0001,ratioNorm,None,False
19,False,2,1,32,0.0558039340207818,16,False,True,4096,False,0.01,False,0.001,indiv,None,False
20,False,1,2,16,0.12378262968013666,16,False,True,215,False,0.01,False,1e-05,ratio,xyPosition,False
21,True,1,2,8,0.06184157241244383,32,False,True,2048,False,0.01,False,0.0001,ratio,None,False
22,True,2,2,8,0.10097393245172816,16,False,False,215,False,0.001,False,0.001,indiv,xyPosition,True
23,False,1,2,16,0.11271097817563974,32,True,False,4096,False,0.01,False,0.001,ratio,None,True
24,False,1,2,16,0.1889431887039913,32,False,True,128,False,0.01,False,1e-05,ratio,None,False
25,True,2,1,16,0.08012029325006295,8,False,False,256,False,0.01,False,1e-05,ratio,xyPosition,False
26,False,2,2,8,0.05496012120656351,16,True,False,4096,False,0.001,False,0.001,ratioNorm,None,True
27,False,1,1,16,0.10038288396983866,8,True,False,4096,False,0.001,False,0.0001,ratio,displacement,True
28,True,1,1,32,0.11684476240103386,32,False,False,215,False,0.001,False,0.001,ratioNorm,None,True
29,False,1,2,8,0.12020961910866108,16,True,True,256,False,0.01,False,0.0001,ratioNorm,None,False
30,False,2,2,8,0.07417083712707419,32,False,False,1024,False,0.01,False,1e-05,indiv,None,False
31,True,1,1,32,0.1909252126007668,16,True,True,2048,False,0.01,False,1e-05,indiv,displacement,True
32,False,2,1,16,0.15165941049204051,32,True,True,215,False,0.01,False,0.0001,indiv,xyPosition,True
33,True,1,1,16,0.10220287181014796,16,True,False,215,False,0.001,False,0.001,ratioNorm,None,True
34,False,1,1,32,0.14744934663729548,32,False,True,4096,False,0.01,False,1e-05,indiv,None,True
35,False,1,1,8,0.19054639529186695,16,False,False,1024,False,0.001,False,0.001,indiv,xyPosition,True
36,True,2,2,16,0.1727104884594823,16,False,False,256,False,0.001,False,0.0001,ratioNorm,displacement,False
37,False,2,1,16,0.05706476031884155,16,False,True,2048,False,0.01,False,1e-05,ratioNorm,None,True
38,False,1,2,32,0.06998174473707969,32,True,False,128,False,0.01,False,1e-05,indiv,None,False
39,True,1,1,32,0.09319236918383542,16,False,True,256,False,0.001,False,1e-05,ratio,displacement,False
40,True,1,2,8,0.07761385009769006,32,True,True,256,False,0.01,False,0.0001,indiv,None,False
41,False,2,2,32,0.0985825074165184,16,False,False,2048,False,0.001,False,0.001,ratioNorm,None,True
42,True,1,1,8,0.17139287229234926,32,False,False,2048,False,0.001,False,0.0001,ratioNorm,xyPosition,True
43,False,1,2,8,0.09355020345591196,32,False,True,128,False,0.001,False,0.0001,ratioNorm,displacement,False
44,True,2,1,16,0.0854194807546091,8,False,True,215,False,0.01,False,1e-05,indiv,None,False
45,True,1,2,8,0.09462540955166264,8,False,True,128,False,0.001,False,1e-05,ratioNorm,None,True
46,False,1,2,32,0.07122539154378489,16,False,True,4096,False,0.001,False,0.0001,ratioNorm,None,False
47,True,1,2,32,0.14075035066315494,16,True,True,215,False,0.001,False,0.0001,indiv,xyPosition,True
48,False,1,1,32,0.1612616078675787,16,False,True,128,False,0.01,False,0.0001,ratio,xyPosition,True
49,True,1,1,8,0.1622295564487502,32,False,True,2048,False,0.01,False,0.001,ratio,displacement,False
50,False,1,1,16,0.07988848529958396,8,False,False,2048,False,0.01,False,0.0001,ratioNorm,displacement,True
51,True,2,2,8,0.1091074494325993,16,True,True,128,False,0.001,False,0.001,indiv,displacement,True
52,True,1,2,16,0.08432724257955891,16,True,True,215,False,0.001,False,0.0001,ratioNorm,displacement,False
53,False,1,2,16,0.07215768159951817,8,False,False,2048,False,0.001,False,0.001,indiv,displacement,False
54,True,2,1,8,0.16938190766276862,32,False,True,2048,False,0.001,False,1e-05,ratio,None,True
55,False,1,1,16,0.11338435900367774,16,False,False,128,False,0.01,False,0.0001,indiv,xyPosition,False
56,False,1,1,16,0.07804433757504434,16,True,True,215,False,0.01,False,1e-05,ratio,displacement,True
57,False,1,2,16,0.1749039116923985,32,False,False,4096,False,0.01,False,0.001,ratio,displacement,True
58,True,2,1,16,0.16383127175650766,8,False,True,2048,False,0.001,False,0.001,ratioNorm,xyPosition,False
59,False,1,1,8,0.11050828757171909,32,True,True,256,False,0.001,False,1e-05,indiv,displacement,True
