,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,distance_conc,distance_SL,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,synthetic_EC50_conc,synthetic_EC50_SL,composite_score_accuracy,composite_score_distance,composite_score_syntheticEC50
0,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
3,swift-sweep-4,run_f8835f0e2fcf8d352145819525e06734,0.3111040592193604,0.5775622208040844,0.3700780257666506,0.4777005685407455,0.7114035979266187,0.6746320620351322,0.3117363810407836,0.01011264184916927,0.05121920404295755,0.7114035979266173,0.6213008387403073,0.9163695736784017,0.8359029233347848,0.3160779075676886
4,worthy-sweep-5,run_b11ad40a83f1a82b9b4158b2387bc848,0.37555843591690075,0.5727121888959795,0.9663400471783717,0.8199620972836393,0.611698343327574,0.7606108561481247,0.3506758716714036,0.1296218751308575,0.20490208464940066,0.6116983433275737,0.607275676531097,1.412826314419798,1.3907372789540469,0.4263335100348183
5,azure-sweep-6,run_7cec8bf5eaa771982962551f35d05cfb,0.30918955802917486,0.5704148053605617,0.9438395935401943,0.4900821225521169,0.573017244299895,0.6673629793743737,0.4315716191912753,0.15759390310288648,0.06526847757422584,0.5730172442998955,0.5711214854671102,1.2681611616491155,1.2068084832954378,0.4640580512731552
6,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,
26,grateful-sweep-31,run_9b78fcb9bd96c3308bc33d2938f7970b,0.08966177701950075,0.8068921506062536,0.5900018145527148,0.9460518003790271,0.6967849036148659,0.7228675423326476,0.3933283053895686,0.047297014362882674,0.1022615287428952,0.6967849036148664,0.5585008176399219,1.4393859212855973,1.3762961501384359,0.4091473862181041
27,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,
29,lucky-sweep-34,run_b2ebfefc789ec1a210442c2409717518,0.20516902208328253,0.6627696234843649,0.4326800943567432,0.5807959570435884,0.6323813395670291,0.6822704014348262,0.4228926147241404,0.014509442653155485,0.05051168667087708,0.6323813395670285,0.610816584902674,1.0753103232215264,0.9817329482014673,0.4261456535090583
30,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,
