name,inputData,displacement,replaceNan,removeMean,FFT,#RNN,sizeRNN,bidirectional,#FC,numFC,Dropout,Custom_loss,Accuracy,N4_Acc,Q4_Acc,T4_Acc,Q4H7_Acc,Custom_Acc
1,ratio,0,0,0,0,2,32,1,2,64,0.2,0,0.459,0.6847,0.3031,0.0893,0.6516,0.3255
2,ratioNorm,0,0,0,0,2,32,1,2,64,0.2,0,0.5245,0.6538,0.5447,0.1808,0.5612,0.4134
3,indiv,0,0,0,0,2,32,1,2,64,0.2,0,0.4995,0.5981,0.4963,0.1721,0.6476,0.4071
4,ratio,1,0,0,0,2,32,1,2,64,0.2,0,0.5574,0.6842,0.5453,0.3453,0.5093,0.472
5,ratioNorm,1,0,0,0,2,32,1,2,64,0.2,0,0.5583,0.6893,0.5435,0.207,0.6755,0.4499
6,indiv,1,0,0,0,2,32,1,2,64,0.2,0,0.5563,0.7152,0.5087,0.2712,0.5891,0.4504
7,ratio,0,1,0,0,2,32,1,2,64,0.2,0,0.5039,0.6878,0.4534,0.2081,0.4907,0.3862
8,ratioNorm,0,1,0,0,2,32,1,2,64,0.2,0,0.5193,0.7552,0.4068,0.219,0.508,0.3867
9,indiv,0,1,0,0,2,32,1,2,64,0.2,0,0.5267,0.6989,0.4578,0.2309,0.5838,0.4164
10,ratio,1,1,0,0,2,32,1,2,64,0.2,0,0.5532,0.7152,0.5087,0.317,0.512,0.4533
11,ratioNorm,1,1,0,0,2,32,1,2,64,0.2,0,0.5679,0.7217,0.523,0.3551,0.5199,0.4751
12,indiv,1,1,0,0,2,32,1,2,64,0.2,0,0.5498,0.6959,0.5075,0.2636,0.6064,0.4485
13,ratio,0,0,1,0,2,32,1,2,64,0.2,0,0.4274,0.59,0.3745,0.1438,0.4601,0.3209
14,ratioNorm,0,0,1,0,2,32,1,2,64,0.2,0,0.4424,0.5748,0.3441,0.2876,0.4947,0.3747
15,indiv,0,0,1,0,2,32,1,2,64,0.2,0,0.4837,0.627,0.4441,0.2244,0.5093,0.3875
16,ratio,1,0,1,0,2,32,1,2,64,0.2,0,0.4963,0.6523,0.4205,0.2908,0.5,0.4077
17,ratioNorm,1,0,1,0,2,32,1,2,64,0.2,0,0.5233,0.629,0.459,0.3584,0.5851,0.461
18,indiv,1,0,1,0,2,32,1,2,64,0.2,0,0.4984,0.6123,0.4913,0.1852,0.5971,0.4021
19,ratio,0,1,1,0,2,32,1,2,64,0.2,0,0.4489,0.6254,0.3186,0.22,0.5439,0.3549
20,ratioNorm,0,1,1,0,2,32,1,2,64,0.2,0,0.4502,0.5656,0.4019,0.1645,0.5997,0.3629
21,indiv,0,1,1,0,2,32,1,2,64,0.2,0,0.4854,0.6635,0.4335,0.1656,0.5199,0.3666
22,ratio,1,1,1,0,2,32,1,2,64,0.2,0,0.514,0.664,0.4329,0.4139,0.4162,0.4451
23,ratioNorm,1,1,1,0,2,32,1,2,64,0.2,0,0.5227,0.6559,0.4988,0.2549,0.5519,0.4275
24,indiv,1,1,1,0,2,32,1,2,64,0.2,0,0.4963,0.6194,0.5106,0.1732,0.5372,0.3918
25,ratio,0,0,0,1,2,32,1,2,64,0.2,0,0.4946,0.6655,0.4689,0.0632,0.6277,0.358
26,ratioNorm,0,0,0,1,2,32,1,2,64,0.2,0,0.5081,0.6675,0.4211,0.2625,0.5758,0.4133
27,indiv,0,0,0,1,2,32,1,2,64,0.2,0,0.4801,0.707,0.3522,0.1721,0.5346,0.3521
28,ratio,1,0,0,1,2,32,1,2,64,0.2,0,0.5475,0.6518,0.5745,0.2734,0.5505,0.457
29,ratioNorm,1,0,0,1,2,32,1,2,64,0.2,0,0.5642,0.7233,0.5137,0.2919,0.5878,0.4608
30,indiv,1,0,0,1,2,32,1,2,64,0.2,0,0.4654,0.6199,0.3857,0.1481,0.6184,0.3606
31,ratio,0,1,0,1,2,32,1,2,64,0.2,0,0.5009,0.6802,0.4292,0.158,0.6024,0.3804
32,ratioNorm,0,1,0,1,2,32,1,2,64,0.2,0,0.5123,0.7572,0.4093,0.0784,0.6197,0.3538
33,indiv,0,1,0,1,2,32,1,2,64,0.2,0,0.4717,0.6635,0.3795,0.1863,0.5146,0.3576
34,ratio,1,1,0,1,2,32,1,2,64,0.2,0,0.5443,0.777,0.4547,0.195,0.5519,0.4025
35,ratioNorm,1,1,0,1,2,32,1,2,64,0.2,0,0.5734,0.6604,0.6006,0.341,0.5705,0.4967
36,indiv,1,1,0,1,2,32,1,2,64,0.2,0,0.4826,0.6711,0.4031,0.1906,0.5146,0.3672
37,ratio,0,0,1,1,2,32,1,2,64,0.2,0,0.434,0.6143,0.3509,0.1307,0.5093,0.3209
38,ratioNorm,0,0,1,1,2,32,1,2,64,0.2,0,0.4512,0.5798,0.4068,0.2331,0.4747,0.3682
39,indiv,0,0,1,1,2,32,1,2,64,0.2,0,0.4506,0.6432,0.4217,0.1253,0.4043,0.3218
40,ratio,1,0,1,1,2,32,1,2,64,0.2,0,0.5127,0.627,0.4665,0.378,0.4761,0.449
41,ratioNorm,1,0,1,1,2,32,1,2,64,0.2,0,0.5241,0.6812,0.5137,0.1699,0.5665,0.4035
42,indiv,1,0,1,1,2,32,1,2,64,0.2,0,0.4681,0.664,0.3609,0.2113,0.4973,0.3587
43,ratio,0,1,1,1,2,32,1,2,64,0.2,0,0.4563,0.6406,0.3478,0.2168,0.4973,0.3546
44,ratioNorm,0,1,1,1,2,32,1,2,64,0.2,0,0.4506,0.555,0.3894,0.244,0.5598,0.3819
45,indiv,0,1,1,1,2,32,1,2,64,0.2,0,0.4571,0.6594,0.2969,0.2898,0.4734,0.3656
46,ratio,1,1,1,1,2,32,1,2,64,0.2,0,0.5153,0.6508,0.4516,0.28,0.5838,0.4293
47,ratioNorm,1,1,1,1,2,32,1,2,64,0.2,0,0.5106,0.5991,0.5342,0.2353,0.5638,0.427
48,indiv,1,1,1,1,2,32,1,2,64,0.2,0,0.47,0.6265,0.4211,0.1264,0.5838,0.3563
49,ratio,1,1,0,0,1,16,0,1,64,0.2,0,0.5458,0.6548,0.5441,0.3279,0.5293,0.4657
50,ratioNorm,1,1,0,0,1,16,0,1,64,0.2,0,0.562,0.6847,0.5286,0.3235,0.6024,0.4769
51,indiv,1,1,0,0,1,16,0,1,64,0.2,0,0.4995,0.5945,0.4851,0.2538,0.5811,0.4227
52,ratioNorm,1,1,0,1,1,16,0,1,64,0.2,0,0.5574,0.707,0.4994,0.3519,0.5399,0.4692
