name,inputData,displacement,replaceNan,removeMean,FFT,#RNN,sizeRNN,bidirectional,#FC,numFC,Dropout,Weigthed,Custom_loss,xyDisplacement,is_regression,augmentation,Accuracy,N4_Acc,Q4_Acc,T4_Acc,Q4H7_Acc,Custom_Acc,Testing_Metric
1,ratioNorm,1,1,0,0,1,16,0,1,16,0.1,0,0,0,0,N,,,,,,,
2,ratioNorm,1,1,0,0,1,16,0,1,16,0.1,0,1,0,0,N,,,,,,,
3,ratioNorm,1,1,0,0,1,16,0,1,16,0.1,1,0,0,0,N,,,,,,,
4,ratioNorm,1,1,0,0,1,16,0,1,16,0.1,1,1,0,0,N,,,,,,,
5,ratioNorm,1,1,0,0,1,16,0,1,16,0.2,0,0,0,0,N,,,,,,,
6,ratioNorm,1,1,0,0,1,16,0,1,16,0.2,0,1,0,0,N,,,,,,,
7,ratioNorm,1,1,0,0,1,16,0,1,16,0.2,1,0,0,0,N,,,,,,,
8,ratioNorm,1,1,0,0,1,16,0,1,16,0.2,1,1,0,0,N,,,,,,,
9,ratioNorm,1,1,0,0,1,16,0,1,32,0.1,0,0,0,0,N,,,,,,,
10,ratioNorm,1,1,0,0,1,16,0,1,32,0.1,0,1,0,0,N,,,,,,,
11,ratioNorm,1,1,0,0,1,16,0,1,32,0.1,1,0,0,0,N,,,,,,,
12,ratioNorm,1,1,0,0,1,16,0,1,32,0.1,1,1,0,0,N,,,,,,,
13,ratioNorm,1,1,0,0,1,16,0,1,32,0.2,0,0,0,0,N,,,,,,,
14,ratioNorm,1,1,0,0,1,16,0,1,32,0.2,0,1,0,0,N,,,,,,,
15,ratioNorm,1,1,0,0,1,16,0,1,32,0.2,1,0,0,0,N,,,,,,,
16,ratioNorm,1,1,0,0,1,16,0,1,32,0.2,1,1,0,0,N,,,,,,,
17,ratioNorm,1,1,0,0,1,16,0,1,64,0.1,0,0,0,0,N,,,,,,,
18,ratioNorm,1,1,0,0,1,16,0,1,64,0.1,0,1,0,0,N,,,,,,,
19,ratioNorm,1,1,0,0,1,16,0,1,64,0.1,1,0,0,0,N,,,,,,,
20,ratioNorm,1,1,0,0,1,16,0,1,64,0.1,1,1,0,0,N,,,,,,,
21,ratioNorm,1,1,0,0,1,16,0,1,64,0.2,0,0,0,0,N,,,,,,,
22,ratioNorm,1,1,0,0,1,16,0,1,64,0.2,0,1,0,0,N,,,,,,,
23,ratioNorm,1,1,0,0,1,16,0,1,64,0.2,1,0,0,0,N,,,,,,,
24,ratioNorm,1,1,0,0,1,16,0,1,64,0.2,1,1,0,0,N,,,,,,,
